CustomerID,Name,Gender,Age,SignupDate,City,Country,Email,AnnualIncome,PurchaseAmount,LoyaltyTier,HasIQROutlier,Purchase_Is_Negative
CUST-00545,Thomas Smith,Male,61,2024-10-19,Houston,Australia,thomas.smith545@example.com,92634.21,123.08,Gold,False,False
CUST-02609,Thomas Martinez,Male,40,2024-04-08,Philadelphia,USA,thomas.martinez2609@example.com,61885.19,161.86,Bronze,False,False
CUST-01468,Betty Martin,Female,40,2022-04-27,San Diego,USA,betty.martin1468@example.com,38843.33,180.8,Gold,False,False
CUST-01965,James Brown,Female,40,2021-07-01,Dallas,Canada,james.brown1965@example.com,73680.31,42.6,Gold,False,False
CUST-01802,Jessica Thomas,Female,51,2023-05-01,Phoenix,United Kingdom,jessica.thomas1802@example.com,52232.12,59.01,Gold,False,False
CUST-00931,Robert Moore,Female,20,2022-01-02,Philadelphia,USA,robert.moore931@example.com,20702.83,144.19,Silver,False,False
CUST-01254,Linda Anderson,Male,52,2021-04-03,Philadelphia,Australia,linda.anderson1254@example.com,51673.93,135.61,Bronze,False,False
CUST-00970,Robert Wilson,Male,67,2023-06-07,Dallas,USA,robert.wilson970@example.com,52144.07,272.37,Gold,False,False
CUST-00073,Linda Smith,Male,59,2024-11-04,Philadelphia,United Kingdom,linda.smith73@example.com,59243.76,52.48,Gold,False,False
CUST-02392,Robert Wilson,Female,24,,San Antonio,Australia,,61885.19,187.5,Silver,False,False
CUST-01087,Betty Brown,Female,42,2022-05-21,San Antonio,Canada,betty.brown1087@example.com,49093.56,60.55,Gold,False,False
CUST-02389,Thomas Johnson,Female,29,2021-04-19,San Antonio,Australia,thomas.johnson2389@example.com,84453.19,170.04,Silver,False,False
CUST-02922,Nancy Wilson,Female,32,2024-12-19,Philadelphia,United Kingdom,nancy.wilson2922@example.com,78407.14,144.19,Silver,False,False
CUST-02406,Jessica Hernandez,Male,31,2022-12-20,Philadelphia,Canada,jessica.hernandez2406@example.com,61885.19,168.15,Gold,False,False
CUST-01393,Michael Jones,Female,41,2022-04-20,Philadelphia,Canada,michael.jones1393@example.com,79577.0,187.36,Bronze,False,False
CUST-00019,William Smith,Male,52,2021-07-26,Phoenix,Australia,william.smith19@example.com,50168.59,32.52,Silver,False,False
CUST-02455,Charles Brown,Female,43,2023-03-18,Austin,Canada,charles.brown2455@example.com,31527.3,136.0,Bronze,False,False
CUST-02524,Lisa Wilson,Female,44,2023-10-01,Los Angeles,USA,lisa.wilson2524@example.com,102939.41,298.43,Gold,False,False
CUST-02104,Jennifer Thomas,Female,42,2024-06-25,Chicago,Canada,jennifer.thomas2104@example.com,88803.39,255.29,Silver,False,False
CUST-01060,Nancy Anderson,Male,46,2023-08-20,San Antonio,Australia,nancy.anderson1060@example.com,65236.33,139.86,Silver,False,False
CUST-02637,Betty Brown,Male,24,2023-02-03,Dallas,Canada,betty.brown2637@example.com,28856.9,88.51,Gold,False,False
CUST-00579,Jessica Anderson,Female,68,2023-02-20,San Diego,Australia,jessica.anderson579@example.com,84436.52,229.56,Bronze,False,False
CUST-00965,Jessica Johnson,Male,46,2022-05-11,Chicago,United Kingdom,jessica.johnson965@example.com,25005.03,183.63,Gold,False,False
CUST-02675,Robert Anderson,Female,31,2022-02-25,Chicago,Australia,robert.anderson2675@example.com,17338.68,237.76,Bronze,False,False
CUST-00630,Mary Taylor,Female,40,2022-02-20,Philadelphia,USA,mary.taylor630@example.com,69832.98,142.82,Gold,False,False
CUST-02869,Mary Martin,Female,54,2021-12-05,Chicago,Australia,mary.martin2869@example.com,62498.81,123.06,Gold,False,False
CUST-01528,Susan Miller,Female,40,2021-02-06,Houston,Australia,susan.miller1528@example.com,71909.98,15.12,Bronze,False,False
CUST-02971,Karen Taylor,Male,41,2022-07-30,Los Angeles,USA,karen.taylor2971@example.com,82946.68,169.52,Gold,False,False
CUST-00287,John Hernandez,Female,41,2024-02-07,Austin,Canada,john.hernandez287@example.com,69580.47,209.97,Bronze,False,False
CUST-02561,Jennifer Martin,Male,57,2023-03-19,Houston,USA,jennifer.martin2561@example.com,64062.42,149.98,Bronze,False,False
CUST-00791,Elizabeth Taylor,Other,28,2022-09-14,Austin,United Kingdom,elizabeth.taylor@@example..com,61885.19,63.34,Gold,False,False
CUST-01900,James Hernandez,Male,16,2022-11-12,Philadelphia,USA,james.hernandez1900@example.com,52420.47,174.3,Gold,False,False
CUST-00279,Jennifer Smith,Female,47,2023-01-29,Chicago,United Kingdom,jennifer.smith279@example.com,54023.8,225.75,Silver,False,False
CUST-00676,Robert Lopez,Male,45,2021-05-20,Dallas,USA,robert.lopez676@example.com,78521.01,0.71,Bronze,False,False
CUST-00701,Richard Lopez,Male,17,2021-04-17,New York,USA,richard.lopez701@example.com,35200.79,190.69,Silver,False,False
CUST-00334,Susan Taylor,Female,27,2023-11-26,Houston,Australia,susan.taylor334@example.com,83591.84,101.62,Bronze,False,False
