CustomerID,Name,Gender,Age,SignupDate,City,Country,Email,AnnualIncome,PurchaseAmount,LoyaltyTier
CUST-00545,Thomas Smith,MALE,61.0,"October 19, 2024",HOUSTON,Australia,thomas.smith545@example.com,"$92,634.21",123.08,Gold
2609,Thomas Martinez,m ,,04/08/2024,  Philadelphia  ,USA,thomas.martinez2609@example.com,,161.86,BRONZE
1468,Betty Martin,Female,40.0,27/04/2022,San Diego,USA,betty.martin1468@example.com,"$38,843.33",180.8,Gold
 CUST-01965 ,James Brown,female,40.0,07/01/2021,Dallas,Canada,james.brown1965@example.com,"$73,680.31",42.6,Gold
 CUST-01802 ,Jessica Thomas,female,51.0,05/01/2023,phoenix,United Kingdom,jessica.thomas1802@example.com,"$52,232.12",59.01,gold
931,Robert Moore,female,20.0,2022-01-02,Philadelphia,USA,robert.moore931@example.com,"$20,702.83",,silver
CUST-01254,Linda Anderson,male,52.0,04/03/2021,Philadelphia,Australia,linda.anderson1254@example.com,"$51,673.93",135.61,bronze
CUST-00970,Robert Wilson, Male,67.0,07-Jun-2023,Dallas,USA,robert.wilson970@example.com,"$52,144.07",272.37,GOLD
CUST-00073,Linda Smith, Male,59.0,04-Nov-2024,Philadelphia,United Kingdom,linda.smith73@example.com,"$59,243.76",52.48,Gold
CUST-02392,Robert Wilson, Female,24.0,,san antonio,Australia,,,187.5,SILVER
CUST-01087,Betty Brown,FEMALE,42.0,21-May-2022,San Antonio,Canada,betty.brown1087@example.com,"$49,093.56",60.55,gold
CUST-02389,Thomas Johnson,female,29.0,04/19/2021,San Antonio,Australia,thomas.johnson2389@example.com,"$84,453.19",170.04,SILVER
 CUST-02922 ,Nancy Wilson, Female,32.0,2024-12-19,philadelphia,United Kingdom,nancy.wilson2922@example.com,"$78,407.14",,silver
CUST-02406,Jessica Hernandez,Male,31.0,2022-12-20,PHILADELPHIA,Canada,jessica.hernandez2406@example.com,,168.15,
CUST-01393,Michael Jones,female,41.0,"April 20, 2022",PHILADELPHIA,Canada,michael.jones1393@example.com,"$79,577.00",187.36,Bronze
CUST-00019,William Smith,m ,52.0,26-Jul-2021,Phoenix,Australia,william.smith19@example.com,"$50,168.59",32.52,Silver
2455,Charles Brown,female,43.0,18-Mar-2023,AUSTIN,Canada,charles.brown2455@example.com,"$31,527.30",136.0,Bronze
CUST-02524,Lisa Wilson,FEMALE,44.0,10/01/2023,Los Angeles,USA,lisa.wilson2524@example.com,"$102,939.41",298.43,gold
CUST-02104,Jennifer Thomas,Female,42.0,2024-06-25,Chicago,Canada,jennifer.thomas2104@example.com,"$88,803.39",255.29,SILVER
CUST-01060,Nancy Anderson,m ,46.0,08/20/2023,San Antonio,Australia,nancy.anderson1060@example.com,"$65,236.33",139.86,Silver
CUST-02637,Betty Brown, Male,24.0,02/03/2023,DALLAS,Canada,betty.brown2637@example.com,"$28,856.90",88.51,Gold
CUST-00579,Jessica Anderson,female,68.0,2023-02-20,San Diego,Australia,jessica.anderson579@example.com,"$84,436.52",229.56,bronze
CUST-00965,Jessica Johnson,MALE,46.0,2022-05-11,CHICAGO,United Kingdom,jessica.johnson965@example.com,"$25,005.03",183.63,Gold
CUST-02675,Robert Anderson,FEMALE,31.0,25/02/2022,Chicago,Australia,robert.anderson2675@example.com,"$17,338.68",237.76,Bronze
CUST-00630,Mary Taylor,FEMALE,,"February 20, 2022",Philadelphia,USA,mary.taylor630@example.com,"$69,832.98",142.82,gold
CUST-02869,Mary Martin,Female,54.0,12/05/2021,Chicago,Australia,mary.martin2869@example.com,"$62,498.81",123.06,gold
CUST-01528,Susan Miller,female,,02/06/2021,Houston,Australia,susan.miller1528@example.com,"$71,909.98",15.12,BRONZE
CUST-02971,Karen Taylor,MALE,41.0,30-Jul-2022,Los Angeles,USA,karen.taylor2971@example.com,"$82,946.68",169.52,Gold
CUST-00287,John Hernandez,Female,41.0,07-Feb-2024,Austin,Canada,john.hernandez287@example.com,"$69,580.47",209.97,bronze
CUST-02561,Jennifer Martin,m ,57.0,19/03/2023,Houston,USA,jennifer.martin2561@example.com,"$64,062.42",149.98,BRONZE
 CUST-00791 ,Elizabeth Taylor,other,28.0,14/09/2022,  Austin  ,United Kingdom,elizabeth.taylor@@example..com,,63.34,GOLD
CUST-01900,James Hernandez, Male,16.0,2022-11-12,philadelphia,USA,james.hernandez1900@example.com,"$52,420.47",174.3,
CUST-00279,Jennifer Smith,FEMALE,47.0,"January 29, 2023",Chicago,United Kingdom,jennifer.smith279@example.com,"$54,023.80",225.75,SILVER
CUST-00676,Robert Lopez, Male,45.0,2021-05-20,DALLAS,USA,robert.lopez676@example.com,"$78,521.01",0.71,BRONZE
